所在文件夹,文件名,文件大小(KB),文件夹总大小(KB),文件夹文件总数
H:\核心存储\B站视频,10_20240508_沉浸观察：吃饱喝足伸懒腰——从吃到睡需要绕场一周_20260327.mp4,325226.9,7982905.46,27
H:\核心存储\B站视频,11_20240508_沉浸观察：仓鼠重要日程——藏宝+口水浴_20260327.mp4,858585.15,7982905.46,27
H:\核心存储\B站视频,12_20240509_仓鼠脑子小，所以呆呆的_20260330.mp4,807071.65,7982905.46,27
H:\核心存储\B站视频,13_20240509_沉浸观察：仓鼠激情跑步，夜间活动速度超快_20260403.mp4,310704.18,7982905.46,27
H:\核心存储\B站视频,14_20240509_沉浸观察：仓鼠吃饭——是在玩，还是想把大块食物摔碎，也可能是想把不爱吃的扔掉_20260405.mp4,278592.86,7982905.46,27
H:\核心存储\B站视频,15_20240510_伸懒腰，喝水，钻纸筒，睡跑盘_20260405.mp4,73691.23,7982905.46,27
H:\核心存储\B站视频,16_20240510_沉浸观察：鼠牌小马达_20260408.mp4,177050.9,7982905.46,27
H:\核心存储\B站视频,17_20240511_只用单边颊囊的蓬松小鼠_20260410.mp4,164511.47,7982905.46,27
H:\核心存储\B站视频,18_20240512_苹果枝调戏小仓鼠_20260416.mp4,194493.84,7982905.46,27
H:\核心存储\B站视频,19_20240512_仓鼠是用鼻子探索世界的_20260417.mp4,126497.86,7982905.46,27
H:\核心存储\B站视频,1_20240425~20240427_因为木有耳朵，所以叫木耳_20260320.mp4,283649.09,7982905.46,27
H:\核心存储\B站视频,20_20240512_仓鼠和纸筒较劲_20260417.mp4,118117.94,7982905.46,27
H:\核心存储\B站视频,21_20240512_外带杯托可以拿给仓鼠玩_20260417.mp4,70026.59,7982905.46,27
H:\核心存储\B站视频,22_20240513_探索世界未半而中道找地睡觉_20260418.mp4,217203.85,7982905.46,27
H:\核心存储\B站视频,23_20240512_沉浸观察：比起堂食还是更喜欢打包_20260419.mp4,273596.34,7982905.46,27
H:\核心存储\B站视频,24_20240513~20240514_打呵欠，睡大觉，鼠鼠的日常就是自在_20260419.mp4,449476.75,7982905.46,27
H:\核心存储\B站视频,25_20240514_沉浸观察：不知道一晚上能发几度电的四驱肥瓜子_20260419.mp4,288444.5,7982905.46,27
H:\核心存储\B站视频,26_20240514_沉浸观察：有新粮就不吃旧屎了_20260501.mp4,993502.84,7982905.46,27
H:\核心存储\B站视频,2_20240428~20240429_换了收纳箱，买了磨牙棒，用闲置早餐机的烤盘当冰垫_20260322.mp4,198020.89,7982905.46,27
H:\核心存储\B站视频,3_20240429_沉浸观察：吃→自清洁→吃→睡觉预备_20260322.mp4,338427.87,7982905.46,27
